local,descricao_local,ip,serial,modelo,papercut,status_manual
HQ1,Térreo - Recepção,172.25.61.53,X3B7034483,WORKFORCE WFC5790,False,Ativo
HQ1,2º Andar - L Maior,172.25.61.20,X3B7034452,WORKFORCE WFC5790,True,Ativo
HQ1,2º Andar - L Menor,172.25.61.21,X3B703447320,WORKFORCE WFC5790,True,Ativo
HQ1,4º Andar - L Maior,172.25.61.40,X3B7034450,WORKFORCE WFC5790,True,Ativo
HQ1,4º Andar - L Menor,172.25.61.41,X3B7034746,WORKFORCE WFC5790,True,Ativo
HQ1,6º Andar - L Maior,172.25.61.50,X3B7034471,WORKFORCE WFC5790,True,Ativo
HQ1,6º Andar - L Menor,172.25.61.60,X3B7034438,WORKFORCE WFC5790,True,Ativo
HQ1,8º Andar - L Maior,172.25.61.48,X3B7034440,WORKFORCE WFC5790,False,Manutenção
HQ1,8º Andar - L Menor,172.25.61.81,X3B7034468,WORKFORCE WFC5790,True,Ativo
HQ1,MTEAM,172.25.61.66,X3B7034448,WORKFORCE WFC5790,False,Ativo
HQ1,MENSAGERIA,172.25.61.11,X3B7034486,WORKFORCE WFC5790,True,Ativo
HQ2,2º Andar,172.26.61.20,X3B7034750,WORKFORCE WFC5790,True,Ativo
HQ2,4º Andar,172.26.61.40,X3B7034444,WORKFORCE WFC5790,True,Ativo
HQ2,8º Andar,172.26.61.80,X3B7034488,WORKFORCE WFC5790,True,Ativo
HQ2,9º Andar - Ambulatório,172.26.61.90,X3B7034477,WORKFORCE WFC5790,True,Ativo
HQ2,12º Andar,172.26.61.120,X3B7034481,WORKFORCE WFC5790,True,Ativo
HQ2,15º Andar,172.26.61.150,X3B7034752,WORKFORCE WFC5790,True,Ativo
HQ2,16º Andar,172.26.61.160,X3B7034479,WORKFORCE WFC5790,True,Ativo
SPARK,Térreo - Recepção,172.30.139.8,X3B7034704,WORKFORCE WFC5790,True,Ativo
SPARK,Térreo - Enfermaria,172.30.139.5,X3B7034620,WORKFORCE WFC5790,True,Ativo
SPARK,Térreo - Mensageria,172.30.139.19,X3B7034989,WORKFORCE WFC5790,True,Ativo
SPARK,1º Andar - Lado A,172.30.139.10,X3B7034959,WORKFORCE WFC5790,True,Ativo
SPARK,1º Andar - Lado B,172.30.139.11,X3B7034624,WORKFORCE WFC5790,True,Ativo
SPARK,2º Andar - Lado A,172.30.139.20,X3B7034733,WORKFORCE WFC5790,True,Ativo
SPARK,2º Andar - Lado B,172.30.139.41,X3B7034691,WORKFORCE WFC5790,True,Ativo
SPARK,3º Andar - MTEAM Lado A,172.30.139.40,X3B7034698,WORKFORCE WFC5790,False,Manutenção
SPARK,3º Andar - Lado A,172.30.139.30,X3B7035080,WORKFORCE WFC5790,True,Ativo
SPARK,3º Andar - Lado B,172.30.139.35,X3B7034696,WORKFORCE WFC5790,True,Ativo
